scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,-479.95571803607737,0.5961523340396073,0.41491618288277676,0.011588645923991253,3,,,0.0
overall,StaticGain_basic,-477.95571803607265,0.2193121874990244,0.4149161828827679,0.011588645923991428,4,0.43109784253732064,0.0,2.000000000004718
overall,SeqGain_basic,-477.6104090595671,0.1845354784613682,0.414242346173864,0.011601992481871888,4,0.4322095418240599,0.009900990099009901,2.345308976510296
overall,Linear_weber,-400.9672518804287,4.19981108921452e-18,0.40849882553008743,0.011715753322884048,3,,,78.98846615564867
overall,StaticGain_weber,-398.9672518804281,1.5450241565253813e-18,0.40849883382164853,0.011715753158654647,4,0.49957956201184966,0.0,80.98846615564929
overall,SeqGain_weber,-398.7229355736646,1.3673593418401792e-18,0.4075122126862506,0.011735294979270344,4,0.5011703944255967,0.009900990099009901,81.23278246241279
overall,Static_basic,-298.5477005113971,2.416054666967138e-40,-0.07110757170815174,0.02121522768513853,3,,0.5236274807906391,181.40801752468025
overall,Seq_basic,-276.32077429757123,3.6023927048756693e-45,-0.15347944743457198,0.02284675204790729,3,,0.6937982233127282,203.63494373850614
overall,Static_weber,-248.8921802060761,3.986093892754443e-51,-0.1882394315608018,0.023535236563420266,3,,0.4320743257442361,231.06353783000128
overall,Seq_weber,-233.86391609902515,2.1737091684826587e-54,-0.27699333008836224,0.025293168460216647,3,,0.4439422650172206,246.09180193705222
range:long,Static_weber,-221.75383761447603,0.3719009032451482,0.40084442482318494,0.007160124819370003,3,,0.379642459626375,0.0
range:long,Linear_weber,-221.75383761447563,0.3719009032450742,0.4008444181058518,0.007160124899644552,3,,,3.979039320256561e-13
range:long,StaticGain_weber,-219.75383761446852,0.13681469645646646,0.4008443949458168,0.0071601251764153075,4,1.0137915409276106,0.38808195198875445,2.0000000000075033
range:long,SeqGain_weber,-219.4490262133654,0.11747455172978011,0.3985863474632585,0.007187109656728974,4,0.6242722751461173,0.009900990099009901,2.3048114011106122
range:long,Linear_basic,-209.08183482233412,0.0006587745143320764,0.42976204428254416,0.006814548856487654,3,,,12.67200279214191
range:long,Static_basic,-209.08183482230442,0.0006587745143222933,0.42976204428248677,0.0068145488564883405,3,,0.4025901794418521,12.672002792171611
range:long,StaticGain_basic,-207.08183482233386,0.00024234960019044156,0.42976204428254905,0.006814548856487596,4,1.2654141371415282,0.5278937679637438,14.672002792142166
range:long,SeqGain_basic,-206.74764770688643,0.000205056951929755,0.42785319471901884,0.006837360295957625,4,0.6013611165907783,0.009900990099009901,15.0061899075896
range:long,Seq_weber,-206.0403047649894,0.0001439716325368972,0.3402997452582087,0.007883655536256112,3,,0.2633519926325743,15.713532849486626
range:long,Seq_basic,-188.07851443749206,1.8110219625580827e-08,0.2964865861720325,0.008407238560073188,3,,0.3812598065708479,33.675323176983966
range:medium,Linear_basic,-210.87443587544936,0.3679269380853572,0.10577044298759652,0.006693479568620963,3,,,0.0
range:medium,Static_basic,-210.8744358754492,0.36792693808532584,0.10577044298759686,0.006693479568620961,3,,0.8123533506182025,1.7053025658242404e-13
range:medium,StaticGain_basic,-208.8744358754467,0.13535275637458027,0.1057704429875772,0.006693479568621108,4,1.4082881402522565,0.8667554588326148,2.0000000000026716
range:medium,SeqGain_basic,-208.75673060895232,0.12761676474095732,0.10471726800507253,0.006701362785153482,4,0.1883635139735196,0.009900990099009901,2.1177052664970404
range:medium,Static_weber,-197.2290916664235,0.0004006016552360091,0.08441458910764221,0.006853332226694025,3,,0.8539918134410721,13.645344209025865
range:medium,Linear_weber,-197.22909166642222,0.0004006016552357529,0.08441457643501638,0.006853332321551058,3,,,13.645344209027144
range:medium,StaticGain_weber,-195.22909166642359,0.0001473731130605841,0.0844146042072097,0.006853332113670869,4,1.9860980605921703,0.9264848915779407,15.64534420902578
range:medium,SeqGain_weber,-195.1663479553287,0.00014282151439232892,0.08341972031833822,0.006860779010198825,4,0.1465053629832904,0.009900990099009901,15.708087920120676
range:medium,Seq_basic,-194.1267150847091,8.492591296662068e-05,-0.057264007543941675,0.007913823668250249,3,,0.9900990099009901,16.74772079074026
range:medium,Seq_weber,-182.6890864405233,2.788628882740932e-07,-0.0613446609936501,0.007944368141174517,3,,0.9900990099009901,28.185349434926053
range:short,Seq_basic,-116.05173365574741,0.2500612431399905,0.35372611609609905,0.017276736334581558,3,,0.18760984988951254,0.0
range:short,Linear_basic,-115.49281207421821,0.18909415576425842,0.35010383846463855,0.01737357010293897,3,,,0.558921581529205
range:short,Static_basic,-115.49281207421745,0.18909415576418723,0.35010383846463755,0.017373570102938996,3,,0.19352877658177145,0.5589215815299582
range:short,SeqGain_basic,-114.3698936504318,0.10785479780623804,0.3557790335354746,0.017221856021141523,4,0.9066693069018369,0.13129117818035507,1.6818400053156068
range:short,StaticGain_basic,-113.4928120742173,0.06956385235130944,0.3501038384646351,0.01737357010293906,4,1.1548739129892114,0.30168025242413166,2.5589215815301145
range:short,Static_weber,-113.05543425317254,0.05589954044647067,0.32629752619072105,0.018009980439947643,3,,0.27006773804292306,2.996299402574877
range:short,Linear_weber,-113.0554342531717,0.05589954044644724,0.3262975415794688,0.018009980028562713,3,,,2.9962994025757155
range:short,SeqGain_weber,-111.90291032251145,0.03141527356139121,0.3319767363651148,0.017858159023029202,4,0.8081767154760262,0.1089521795672249,4.148823333235967
range:short,Seq_weber,-111.84725745057425,0.030553149018519108,0.29804523130325744,0.018765244518807025,3,,0.24155149235030318,4.204476205173165
range:short,StaticGain_weber,-111.05543425317254,0.02056429170118807,0.3262975275013351,0.018009980404911207,4,1.4031124699359807,0.47977636478697927,4.996299402574877
